Name,Function,Number of Args,Readiness Level,Arguments,Docstring
scan_i2c_bus,TCMDEXEC_scan_i2c_bus,1,TCMD_READINESS_LEVEL_FOR_OPERATION,I2C bus to scan (1-4),"@brief Scans the I2C bus for devices. Prints out the addresses of devices found.
@param args_str
- Arg 0: I2C bus to scan (1-4)
@return 0 if successful, 1 if error."
scan_i2c_bus_verbose,TCMDEXEC_scan_i2c_bus_verbose,1,TCMD_READINESS_LEVEL_FOR_OPERATION,I2C bus to scan (1-4),"@brief Scans the I2C bus for devices. Prints out a grid of all devices, with addresses for those found.
@param args_str
- Arg 0: I2C bus to scan (1-4)
@return 0 if successful, 1 if error."
system_self_check_failures_as_json,TCMDEXEC_system_self_check_failures_as_json,0,TCMD_READINESS_LEVEL_FOR_OPERATION,,"@brief System self-check of all peripherals and systems.
@param args_str No arguments expected
@param response_output_buf Buffer is filled with a JSON list of strings of the FAILING checks
@return 0 regardless; see the response_output_buf for the results of the self-check.
@note Output is a JSON list of the failing checks (as strings). Returns 0 regardless."
obc_get_rbf_state,TCMDEXEC_obc_get_rbf_state,0,TCMD_READINESS_LEVEL_FOR_OPERATION,,
uart_send_hex_get_response_hex,TCMDEXEC_uart_send_hex_get_response_hex,2,TCMD_READINESS_LEVEL_FOR_OPERATION,"UART port name to send data to: MPI, GPS, CAMERA, EPS (case insensitive), Data to be sent (bytes specified as hex - Max 5KiB buffer)","@brief Send arbitrary commands to a UART peripheral, and receive the response.
@param args_str
- Arg 0: UART port name to send data to: MPI, GPS, CAMERA, EPS (case insensitive)
- Arg 1: Data to be sent (bytes specified as hex - Max 5KiB buffer)
@param tcmd_channel The channel on which the telecommand was received, and on which the response should be sent
@param response_output_buf The buffer to write the response to
@param response_output_buf_len The maximum length of the response_output_buf (its size)
@return 0: Success, 1: Error parsing args, 2: Invalid uart port requested, 3: Error transmitting data,
4: Error receiving data, 5: Timeout waiting for response / No response, 6: Peripheral specific error,
7: Unhandled error
@note This function doesn't toggle the EPS power lines for peripherals. Ensure they are powered on before
using this function.
@note The camera UART port does not support receiving data in the function. TX only."
uart_get_last_rx_times_json,TCMDEXEC_uart_get_last_rx_times_json,0,TCMD_READINESS_LEVEL_FOR_OPERATION,,"@brief Get a JSON dict of how long, in ms, SINCE each UART ISR handler was last triggered.
@note Uses placeholder ""-99"" to mean ""never triggered"". A value of 50 means that handler was last
triggered 50ms ago.
@note Intended for debugging and testing purposes, but safe to use in flight also."
uart_get_errors_json,TCMDEXEC_uart_get_errors_json,0,TCMD_READINESS_LEVEL_FOR_OPERATION,,
echo_back_args,TCMDEXEC_echo_back_args,1,TCMD_READINESS_LEVEL_FOR_OPERATION,The string to echo back.,"@brief A demo telecommand that echoes back the argument it received.
@param args_str
- Arg 0: The string to echo back."
echo_back_uint32_args,TCMDEXEC_echo_back_uint32_args,3,TCMD_READINESS_LEVEL_FOR_OPERATION,"The first integer to echo back., The second integer to echo back., The third integer to echo back.","@brief A demo telecommand that echoes back each integer argument it received.
@param args_str 3 integer arguments to echo back.
- Arg 0: The first integer to echo back.
- Arg 1: The second integer to echo back.
- Arg 2: The third integer to echo back.
@return 0 if all ints are parsed successfully, otherwise the error code of the first failed parse."
run_all_unit_tests,TCMDEXEC_run_all_unit_tests,0,TCMD_READINESS_LEVEL_FOR_OPERATION,,
demo_blocking_delay,TCMDEXEC_demo_blocking_delay,1,TCMD_READINESS_LEVEL_FLIGHT_TESTING,delay_ms (uint64_t) - The number of milliseconds to delay for. <=30_000ms.,"@brief Delay for a specified number of milliseconds, for testing purposes.
@param args_str 1 argument: delay_ms (uint64_t)
- Arg 0: delay_ms (uint64_t) - The number of milliseconds to delay for. <=30_000ms.
@return 0 on success, 1 on error"
config_set_int_var,TCMDEXEC_config_set_int_var,2,TCMD_READINESS_LEVEL_FOR_OPERATION,"variable name, new value","@brief Set an integer configuration variable
@param args_str
- Arg 0: variable name
- Arg 1: new value
@param response_output_buf Buffer to write the response to
@param response_output_buf_len Max length of the buffer
@return 0 if successful, >0 if an error occurred"
config_set_str_var,TCMDEXEC_config_set_str_var,2,TCMD_READINESS_LEVEL_FOR_OPERATION,"variable name, new value","@brief Set a string configuration variable
@param args_str
- Arg 0: variable name
- Arg 1: new value
@return 0 if successful, >0 if an error occurred"
config_get_int_var_json,TCMDEXEC_config_get_int_var_json,1,TCMD_READINESS_LEVEL_FOR_OPERATION,variable name,"@brief Get an integer configuration variable
@param args_str
- Arg 0: variable name
@return 0 if successful, >0 if an error occurred"
config_get_str_var_json,TCMDEXEC_config_get_str_var_json,1,TCMD_READINESS_LEVEL_FOR_OPERATION,variable name,"@brief Get a string configuration variable
@param args_str
- Arg 0: variable name
@return 0 if successful, >0 if an error occurred"
config_get_all_vars_jsonl,TCMDEXEC_config_get_all_vars_jsonl,0,TCMD_READINESS_LEVEL_FOR_OPERATION,,"@brief Get all configuration variables, as JSON. One variable per line.
@param args_str No arguments.
@return 0 if successful, >0 if an error occurred"
flash_activate_each_cs,TCMDEXEC_flash_activate_each_cs,0,TCMD_READINESS_LEVEL_FOR_OPERATION,,"@brief Telecommand: Read bytes as hex from a flash address
@param args_str No args.
@return 0 always"
flash_each_is_reachable,TCMDEXEC_flash_each_is_reachable,0,TCMD_READINESS_LEVEL_FOR_OPERATION,,"@brief Telecommand: Read bytes as hex from a flash address
@param args_str No args.
@return 0 always"
flash_read_hex,TCMDEXEC_flash_read_hex,3,TCMD_READINESS_LEVEL_FOR_OPERATION,"Chip Number (CS number) as uint, Page number as uint, Number of bytes to read as uint","@brief Telecommand: Read bytes as hex from a page number
@param args_str
- Arg 0: Chip Number (CS number) as uint
- Arg 1: Page number as uint
- Arg 2: Number of bytes to read as uint
@return 0 on success, >0 on error"
flash_write_hex,TCMDEXEC_flash_write_hex,3,TCMD_READINESS_LEVEL_FLIGHT_TESTING,"Chip Number (CS number) as uint, Page number as uint, Hex string of bytes to write (any case, allows space/underscore separators)","@brief Telecommand: Write a hex string of bytes to a page number
@param args_str
- Arg 0: Chip Number (CS number) as uint
- Arg 1: Page number as uint
- Arg 2: Hex string of bytes to write (any case, allows space/underscore separators)
@return 0 on success, >0 on error"
flash_erase,TCMDEXEC_flash_erase,2,TCMD_READINESS_LEVEL_FLIGHT_TESTING,"Chip Number (CS number) as uint, Page number as uint","@brief Telecommand: Erase a block of flash memory containing the given page number.
@param args_str
- Arg 0: Chip Number (CS number) as uint
- Arg 1: Page number as uint
@return 0 on success, >0 on error"
flash_benchmark_erase_write_read,TCMDEXEC_flash_benchmark_erase_write_read,3,TCMD_READINESS_LEVEL_FLIGHT_TESTING,"Chip Number (CS number) as uint, Test Data Address as uint, Test Data Length as uint","@brief Telecommand: Benchmarks the erase/write/read operations on the flash memory module.
@param args_str
- Arg 0: Chip Number (CS number) as uint
- Arg 1: Test Data Address as uint
- Arg 2: Test Data Length as uint
@return 0 on success, >0 on error"
flash_reset,TCMDEXEC_flash_reset,1,TCMD_READINESS_LEVEL_IN_PROGRESS,Chip Number (CS number) as uint,"@brief Telecommand: Reset the flash memory module.
@param args_str
- Arg 0: Chip Number (CS number) as uint
@return 0 on success, >0 on error"
flash_read_status_register,TCMDEXEC_flash_read_status_register,1,TCMD_READINESS_LEVEL_FOR_OPERATION,Chip Number (CS number) as uint,"@brief Telecommand: Read and print Status Register value as hex from the flash memory module.
@param args_str
- Arg 0: Chip Number (CS number) as uint
@return 0 on success, >0 on error"
flash_write_enable,TCMDEXEC_flash_write_enable,1,TCMD_READINESS_LEVEL_FOR_OPERATION,Chip Number (CS number) as uint,"@brief Telecommand: Set the write enable lath to high on the flash memory module
@param args_str
- Arg 0: Chip Number (CS number) as uint
@return 0 on success, >0 on error"
fs_format_storage,TCMDEXEC_fs_format_storage,0,TCMD_READINESS_LEVEL_FOR_OPERATION,,
fs_mount,TCMDEXEC_fs_mount,0,TCMD_READINESS_LEVEL_FOR_OPERATION,,
fs_unmount,TCMDEXEC_fs_unmount,0,TCMD_READINESS_LEVEL_FOR_OPERATION,,
fs_list_directory,TCMDEXEC_fs_list_directory,3,TCMD_READINESS_LEVEL_FOR_OPERATION,"Root Directory path as string, (Offset) Number of entries to skip at the beginning, (Count) Number entries to display","@brief Telecommand: List all the files and directories within a given directory
@param args_str
- Arg 0: Root Directory path as string
- Arg 1: (Offset) Number of entries to skip at the beginning
- Arg 2: (Count) Number entries to display"
fs_make_directory,TCMDEXEC_fs_make_directory,1,TCMD_READINESS_LEVEL_FOR_OPERATION,"Directory Name as string (e.g., ""/dir1"", ""/dir1/subdir1"")","@brief Telecommand: Create a directory
@param args_str
- Arg 0: Directory Name as string (e.g., ""/dir1"", ""/dir1/subdir1"")"
fs_write_file_str,TCMDEXEC_fs_write_file_str,2,TCMD_READINESS_LEVEL_FOR_OPERATION,"File path as string, String to write to file (up to 512 bytes)","@brief Telecommand: Write data to a file in LittleFS
@param args_str
- Arg 0: File path as string
- Arg 1: String to write to file (up to 512 bytes)"
fs_write_file_hex,TCMDEXEC_fs_write_file_hex,3,TCMD_READINESS_LEVEL_FOR_OPERATION,"File path as string, Offset within the file to start writing (uint64), Hex string to write to file (e.g., ""DEADBEEF"" or ""DE AD BE EF"")","@brief Telecommand: Write hex data to a file in LittleFS with offset support
@param args_str
- Arg 0: File path as string
- Arg 1: Offset within the file to start writing (uint64)
- Arg 2: Hex string to write to file (e.g., ""DEADBEEF"" or ""DE AD BE EF"")
@note The maximum number of bytes that can be written is 105 bytes"
fs_delete_file,TCMDEXEC_fs_delete_file,1,TCMD_READINESS_LEVEL_FOR_OPERATION,File name to be deleted,"@brief Telecommand: Deletes a specified file in LittleFS
@param args_str
- Arg 0: File name to be deleted
@note Do not add quotations around the argument, write as is."
fs_read_file_hex,TCMDEXEC_fs_read_file_hex,1,TCMD_READINESS_LEVEL_FOR_OPERATION,File path as string,"@brief Reads a file from LittleFS, and responds with its contents as 2-digit hex bytes.
@param args_str
- Arg 0: File path as string
@return 0 on success, >0 on error"
fs_read_text_file,TCMDEXEC_fs_read_text_file,1,TCMD_READINESS_LEVEL_FOR_OPERATION,File path as string,"@brief Reads a file from LittleFS, and responds with its contents as 2-digit hex bytes.
@param args_str
- Arg 0: File path as string
@return 0 on success, >0 on error"
fs_demo_write_then_read,TCMDEXEC_fs_demo_write_then_read,0,TCMD_READINESS_LEVEL_FOR_OPERATION,,
fs_benchmark_write_read,TCMDEXEC_fs_benchmark_write_read,2,TCMD_READINESS_LEVEL_FOR_OPERATION,"Write chunk size (bytes), Write chunk count","@brief Telecommand: Benchmark LittleFS write and read operations
@param args_str
- Arg 0: Write chunk size (bytes)
- Arg 1: Write chunk count
@return 0 on success, 1 if error parsing args, 2 if benchmark failed
@note The maximum write chunk size is 127 bytes, apparently; need to investigate why so small."
adcs_ack,TCMDEXEC_adcs_ack,0,TCMD_READINESS_LEVEL_FOR_OPERATION,,"@brief Telecommand: Request the given telemetry data from the ADCS
@param args_str
- No arguments for this command
@return 0 on success, >0 on error"
adcs_set_wheel_speed,TCMDEXEC_adcs_set_wheel_speed,3,TCMD_READINESS_LEVEL_FOR_OPERATION,"wheel speed x value, wheel speed y value, wheel speed z value","@brief Telecommand: Set the wheel speed of the ADCS
@param args_str
- Arg 0: wheel speed x value
- Arg 1: wheel speed y value
- Arg 2: wheel speed z value
@return 0 on success, >0 on error"
adcs_reset,TCMDEXEC_adcs_reset,0,TCMD_READINESS_LEVEL_FOR_OPERATION,,"@brief Telecommand: Request the given telemetry data from the ADCS
@note The ADCS will become unresponsive after sending this command for at least 15 seconds.
@param args_str
- No arguments for this command
@return 0 on success, >0 on error"
adcs_identification,TCMDEXEC_adcs_identification,0,TCMD_READINESS_LEVEL_FOR_OPERATION,,"@brief Telecommand: Request the given telemetry data from the ADCS
@param args_str
- No arguments for this command
@return 0 on success, >0 on error"
adcs_program_status,TCMDEXEC_adcs_program_status,0,TCMD_READINESS_LEVEL_FOR_OPERATION,,"@brief Telecommand: Request the given telemetry data from the ADCS
@param args_str
- No arguments for this command
@return 0 on success, >0 on error"
adcs_communication_status,TCMDEXEC_adcs_communication_status,0,TCMD_READINESS_LEVEL_FOR_OPERATION,,"@brief Telecommand: Request the given telemetry data from the ADCS
@param args_str
- No arguments for this command
@return 0 on success, >0 on error"
adcs_deploy_magnetometer,TCMDEXEC_adcs_deploy_magnetometer,1,TCMD_READINESS_LEVEL_FOR_OPERATION,timeout for deployment [seconds],"@brief Telecommand: Request the given telemetry data from the ADCS
@param args_str
- Arg 0: timeout for deployment [seconds]
@return 0 on success, >0 on error"
adcs_set_run_mode,TCMDEXEC_adcs_set_run_mode,1,TCMD_READINESS_LEVEL_FOR_OPERATION,"run mode to set; can be can be off (0), enabled (1), triggered (2), or simulation (3)","@brief Telecommand: Request the given telemetry data from the ADCS
@param args_str
- Arg 0: run mode to set; can be can be off (0), enabled (1), triggered (2), or simulation (3)
@return 0 on success, >0 on error"
adcs_clear_errors,TCMDEXEC_adcs_clear_errors,0,TCMD_READINESS_LEVEL_FOR_OPERATION,,"@brief Telecommand: Request the given telemetry data from the ADCS
@param args_str
- No arguments for this command
@return 0 on success, >0 on error"
adcs_attitude_control_mode,TCMDEXEC_adcs_attitude_control_mode,2,TCMD_READINESS_LEVEL_FOR_OPERATION,"Control mode to set (Table 77 in Firmware Manual), Timeout to set control mode","@brief Telecommand: Set the attitude control mode of the ADCS; needs Power Control to be set before working
@param args_str
- Arg 0: Control mode to set (Table 77 in Firmware Manual)
- Arg 1: Timeout to set control mode
@return 0 on success, >0 on error"
adcs_attitude_estimation_mode,TCMDEXEC_adcs_attitude_estimation_mode,1,TCMD_READINESS_LEVEL_FOR_OPERATION,Attitude estimation mode to set (Table 79 in Firmware Manual),"@brief Telecommand: Request the given telemetry data from the ADCS
@param args_str
- Arg 0: Attitude estimation mode to set (Table 79 in Firmware Manual)
@return 0 on success, >0 on error"
adcs_run_once,TCMDEXEC_adcs_run_once,0,TCMD_READINESS_LEVEL_FOR_OPERATION,,"@brief Telecommand: If ADCS run mode is Triggered, run the ADCS sensor loop
@param args_str
- No arguments for this command
@return 0 on success, >0 on error"
adcs_set_magnetometer_mode,TCMDEXEC_adcs_set_magnetometer_mode,1,TCMD_READINESS_LEVEL_FOR_OPERATION,magnetometer mode to set,"@brief Telecommand: Set the magnetometer mode of the ADCS
@param args_str
- Arg 0: magnetometer mode to set
@return 0 on success, >0 on error"
adcs_set_magnetorquer_output,TCMDEXEC_adcs_set_magnetorquer_output,3,TCMD_READINESS_LEVEL_FOR_OPERATION,"magnetorquer x duty cycle (double), magnetorquer y duty cycle (double), magnetorquer z duty cycle (double)","@brief Telecommand: Set the magnetorquer output values
@param args_str
- Arg 0: magnetorquer x duty cycle (double)
- Arg 1: magnetorquer y duty cycle (double)
- Arg 2: magnetorquer z duty cycle (double)
@return 0 on success, >0 on error"
adcs_save_config,TCMDEXEC_adcs_save_config,0,TCMD_READINESS_LEVEL_FOR_OPERATION,,"@brief Telecommand: Request the given telemetry data from the ADCS
@param args_str
- No arguments for this command
@return 0 on success, >0 on error"
adcs_estimate_angular_rates,TCMDEXEC_adcs_estimate_angular_rates,0,TCMD_READINESS_LEVEL_FOR_OPERATION,,"@brief Telecommand: Request the given telemetry data from the ADCS
@param args_str
- No arguments for this command
@return 0 on success, >0 on error"
adcs_get_llh_position,TCMDEXEC_adcs_get_llh_position,0,TCMD_READINESS_LEVEL_FOR_OPERATION,,"@brief Telecommand: Request the given telemetry data from the ADCS
@param args_str
- No arguments for this command
@return 0 on success, >0 on error"
adcs_get_power_control,TCMDEXEC_adcs_get_power_control,0,TCMD_READINESS_LEVEL_FOR_OPERATION,,"@brief Telecommand: Request the given telemetry data from the ADCS
@param args_str
- No arguments for this command
@return 0 on success, >0 on error"
adcs_set_power_control,TCMDEXEC_adcs_set_power_control,10,TCMD_READINESS_LEVEL_FOR_OPERATION,"CubeControl signal power control mode, CubeControl motor power control mode, CubeSense 1 power control mode, CubeSense 2 power control mode, CubeStar power control mode, CubeWheel 1 power control mode, CubeWheel 2 power control mode, CubeWheel 3 power control mode, Motor power control mode, GPS power control mode","@brief Telecommand: Set the power control mode of each component of the ADCS; for each, 0 turns the component off, 1 turns it on, and 2 keeps it the same as previously.
@param args_str
- Arg 0: CubeControl signal power control mode
- Arg 1: CubeControl motor power control mode
- Arg 2: CubeSense 1 power control mode
- Arg 3: CubeSense 2 power control mode
- Arg 4: CubeStar power control mode
- Arg 5: CubeWheel 1 power control mode
- Arg 6: CubeWheel 2 power control mode
- Arg 7: CubeWheel 3 power control mode
- Arg 8: Motor power control mode
- Arg 9: GPS power control mode
@return 0 on success, >0 on error"
adcs_enter_low_power_mode,TCMDEXEC_adcs_enter_low_power_mode,1,TCMD_READINESS_LEVEL_FOR_OPERATION,"Enable stable attitude mode. 1 to keep the attitude of the satellite stable (costs average 250 mW, maximum 1 W extra), 0 to disable control entirely (satellite will slowly start to tumble).","@brief Telecommand: Put the ADCS in low-power mode, with only essential component power.
@param args_str
- Arg 0: Enable stable attitude mode. 1 to keep the attitude of the satellite stable (costs average 250 mW, maximum 1 W extra), 0 to disable control entirely (satellite will slowly start to tumble).
@return 0 on success, >0 on error"
adcs_track_sun,TCMDEXEC_adcs_track_sun,0,TCMD_READINESS_LEVEL_FOR_OPERATION,,"@brief Telecommand: Automatically track the sun with the ADCS.
@note The satellite must be already in Y-Momentum mode (i.e. stable attitude) to do this successfully. Rate Gyro Offsets must be set.
@param args_str
- No arguments for this command
@return 0 on success, >0 on error"
adcs_set_magnetometer_config,TCMDEXEC_adcs_set_magnetometer_config,15,TCMD_READINESS_LEVEL_FOR_OPERATION,"Mounting transform alpha angle [deg] (double), Mounting transform beta angle [deg] (double), Mounting transform gamma angle [deg] (double), Channel 1 offset value (double), Channel 2 offset value (double), Channel 3 offset value (double), Value (1, 1) of the magnetometer sensitivity matrix (double), Value (2, 2) of the magnetometer sensitivity matrix (double), Value (3, 3) of the magnetometer sensitivity matrix (double), Value (1, 2) of the magnetometer sensitivity matrix (double), Value (1, 3) of the magnetometer sensitivity matrix (double), Value (2, 1) of the magnetometer sensitivity matrix (double), Value (2, 3) of the magnetometer sensitivity matrix (double), Value (3, 1) of the magnetometer sensitivity matrix (double), Value (3, 2) of the magnetometer sensitivity matrix (double)","@brief Telecommand: Request the given telemetry data from the ADCS
@param args_str
- Arg 0: Mounting transform alpha angle [deg] (double)
- Arg 1: Mounting transform beta angle [deg] (double)
- Arg 2: Mounting transform gamma angle [deg] (double)
- Arg 3: Channel 1 offset value (double)
- Arg 4: Channel 2 offset value (double)
- Arg 5: Channel 3 offset value (double)
- Arg 6: Value (1, 1) of the magnetometer sensitivity matrix (double)
- Arg 7: Value (2, 2) of the magnetometer sensitivity matrix (double)
- Arg 8: Value (3, 3) of the magnetometer sensitivity matrix (double)
- Arg 9: Value (1, 2) of the magnetometer sensitivity matrix (double)
- Arg 10: Value (1, 3) of the magnetometer sensitivity matrix (double)
- Arg 11: Value (2, 1) of the magnetometer sensitivity matrix (double)
- Arg 12: Value (2, 3) of the magnetometer sensitivity matrix (double)
- Arg 13: Value (3, 1) of the magnetometer sensitivity matrix (double)
- Arg 14: Value (3, 2) of the magnetometer sensitivity matrix (double)
@return 0 on success, >0 on error"
adcs_bootloader_clear_errors,TCMDEXEC_adcs_bootloader_clear_errors,0,TCMD_READINESS_LEVEL_FOR_OPERATION,,"@brief Telecommand: Request the given telemetry data from the ADCS
@param args_str
- No arguments for this command
@return 0 on success, >0 on error"
adcs_set_unix_time_save_mode,TCMDEXEC_adcs_set_unix_time_save_mode,4,TCMD_READINESS_LEVEL_FOR_OPERATION,"whether to save the current Unix time immediately (bool passed as int; 1 = save immediately, 0 = don't save immediately), whether to save the current Unix time whenever a command is used to update it (bool passed as int; 1 = save on command, 0 = don't), whether to save the current Unix time periodically (bool passed as int; 1 = save periodically, 0 = don't), the period of saving the current Unix time","@brief Telecommand: Choose the circumstances to save the current Unix time
@param args_str
- Arg 0: whether to save the current Unix time immediately (bool passed as int; 1 = save immediately, 0 = don't save immediately)
- Arg 1: whether to save the current Unix time whenever a command is used to update it (bool passed as int; 1 = save on command, 0 = don't)
- Arg 2: whether to save the current Unix time periodically (bool passed as int; 1 = save periodically, 0 = don't)
- Arg 3: the period of saving the current Unix time
@return 0 on success, >0 on error"
adcs_get_unix_time_save_mode,TCMDEXEC_adcs_get_unix_time_save_mode,0,TCMD_READINESS_LEVEL_FOR_OPERATION,,"@brief Telecommand: Request the given telemetry data from the ADCS
@param args_str
- No arguments for this command
@return 0 on success, >0 on error"
adcs_set_sgp4_orbit_params,TCMDEXEC_adcs_set_sgp4_orbit_params,8,TCMD_READINESS_LEVEL_FOR_OPERATION,"inclination (degrees) (double), eccentricity (dimensionless) (double), right ascension of the ascending node (degrees) (double), argument of perigee (degrees) (double), b-star drag term (dimensionless) (double), mean motion (orbits per day) (double), mean anomaly (degrees) (double), epoch (integer component is year, decimal component is day) (double)","@brief Telecommand: Set the ADCS Simplified General Perturbations (SGP4) orbit parameters
@param args_str
- Arg 0: inclination (degrees) (double)
- Arg 1: eccentricity (dimensionless) (double)
- Arg 2: right ascension of the ascending node (degrees) (double)
- Arg 3: argument of perigee (degrees) (double)
- Arg 4: b-star drag term (dimensionless) (double)
- Arg 5: mean motion (orbits per day) (double)
- Arg 6: mean anomaly (degrees) (double)
- Arg 7: epoch (integer component is year, decimal component is day) (double)
@return 0 on success, >0 on error"
adcs_get_sgp4_orbit_params,TCMDEXEC_adcs_get_sgp4_orbit_params,0,TCMD_READINESS_LEVEL_FOR_OPERATION,,"@brief Telecommand: Request the given telemetry data from the ADCS
@param args_str
- No arguments for this command
@return 0 on success, >0 on error"
adcs_save_orbit_params,TCMDEXEC_adcs_save_orbit_params,0,TCMD_READINESS_LEVEL_FOR_OPERATION,,"@brief Telecommand: Request the given telemetry data from the ADCS
@param args_str
- No arguments for this command
@return 0 on success, >0 on error"
adcs_rate_sensor_rates,TCMDEXEC_adcs_rate_sensor_rates,0,TCMD_READINESS_LEVEL_FOR_OPERATION,,"@brief Telecommand: Request the given telemetry data from the ADCS
@param args_str
- No arguments for this command
@return 0 on success, >0 on error"
adcs_get_wheel_speed,TCMDEXEC_adcs_get_wheel_speed,0,TCMD_READINESS_LEVEL_FOR_OPERATION,,"@brief Telecommand: Request the given telemetry data from the ADCS
@param args_str
- No arguments for this command
@return 0 on success, >0 on error"
adcs_get_magnetorquer_command,TCMDEXEC_adcs_get_magnetorquer_command,0,TCMD_READINESS_LEVEL_FOR_OPERATION,,"@brief Telecommand: Request the given telemetry data from the ADCS
@param args_str
- No arguments for this command
@return 0 on success, >0 on error"
adcs_get_raw_magnetometer_values,TCMDEXEC_adcs_get_raw_magnetometer_values,0,TCMD_READINESS_LEVEL_FOR_OPERATION,,"@brief Telecommand: Request the given telemetry data from the ADCS
@param args_str
- No arguments for this command
@return 0 on success, >0 on error"
adcs_estimate_fine_angular_rates,TCMDEXEC_adcs_estimate_fine_angular_rates,0,TCMD_READINESS_LEVEL_FOR_OPERATION,,"@brief Telecommand: Request the given telemetry data from the ADCS
@param args_str
- No arguments for this command
@return 0 on success, >0 on error"
adcs_get_magnetometer_config,TCMDEXEC_adcs_get_magnetometer_config,0,TCMD_READINESS_LEVEL_FOR_OPERATION,,"@brief Telecommand: Request the given telemetry data from the ADCS
@param args_str
- No arguments for this command
@return 0 on success, >0 on error"
adcs_get_commanded_attitude_angles,TCMDEXEC_adcs_get_commanded_attitude_angles,0,TCMD_READINESS_LEVEL_FOR_OPERATION,,"@brief Telecommand: Request the given telemetry data from the ADCS
@param args_str
- No arguments for this command
@return 0 on success, >0 on error"
adcs_set_commanded_attitude_angles,TCMDEXEC_adcs_set_commanded_attitude_angles,3,TCMD_READINESS_LEVEL_FOR_OPERATION,"x attitude angle (double), y attitude angle (double), z attitude angle (double)","@brief Telecommand: Request the given telemetry data from the ADCS
@param args_str
- Arg 0: x attitude angle (double)
- Arg 1: y attitude angle (double)
- Arg 2: z attitude angle (double)
@return 0 on success, >0 on error"
